chebi_id	chebi_name	mode	db	db_id	db_name
CHEBI:131326	JSH-23	complex	fplx	NFkappaB	NFkappaB
CHEBI:132639	aconine	complex	fplx	NFkappaB	NFkappaB
CHEBI:136555	1-O-caffeoylquinic acid	complex	fplx	NFkappaB	NFkappaB
CHEBI:138650	CBL0137	complex	fplx	NFkappaB	NFkappaB
CHEBI:141063	rubimaillin	complex	fplx	NFkappaB	NFkappaB
CHEBI:19371	dibromothymoquinone	complex	go	GO:0009512	cytochrome b6f complex
CHEBI:28821	piperine	complex	fplx	NFkappaB	NFkappaB
CHEBI:3170	brazilin	complex	fplx	NFkappaB	NFkappaB
CHEBI:33276	delta-tocotrienol	complex	fplx	NFkappaB	NFkappaB
CHEBI:43572	kojic acid	complex	fplx	NFkappaB	NFkappaB
CHEBI:4659	disulfiram	complex	fplx	NFkappaB	NFkappaB
CHEBI:469	1'-acetoxychavicol acetate	complex	fplx	NFkappaB	NFkappaB
CHEBI:5373	(S)-glaucine	complex	fplx	NFkappaB	NFkappaB
CHEBI:65646	cochinchinone A	complex	fplx	NFkappaB	NFkappaB
CHEBI:66186	talosin A	complex	fplx	NFkappaB	NFkappaB
CHEBI:66325	tubocapsanolide A	complex	fplx	NFkappaB	NFkappaB
CHEBI:66824	orbiculin A	complex	fplx	NFkappaB	NFkappaB
CHEBI:66825	orbiculin D	complex	fplx	NFkappaB	NFkappaB
CHEBI:66826	orbiculin E	complex	fplx	NFkappaB	NFkappaB
CHEBI:66827	orbiculin F	complex	fplx	NFkappaB	NFkappaB
CHEBI:66828	orbiculin G	complex	fplx	NFkappaB	NFkappaB
CHEBI:66829	orbiculin H	complex	fplx	NFkappaB	NFkappaB
CHEBI:66830	orbiculin I	complex	fplx	NFkappaB	NFkappaB
CHEBI:67555	15-O-desmethyl-(5Z)-7-oxozeaenol	complex	fplx	NFkappaB	NFkappaB
CHEBI:67556	zeaenol	complex	fplx	NFkappaB	NFkappaB
CHEBI:67557	7-epi-zeaenol	complex	fplx	NFkappaB	NFkappaB
CHEBI:67558	5E-7-oxozeaenol	complex	fplx	NFkappaB	NFkappaB
CHEBI:67559	5Z-7-oxozeaenol	complex	fplx	NFkappaB	NFkappaB
