source_db	source_id	source_name	modulation	type	target_db	target_id	target_name
chebi	CHEBI:88355	alpha-secretase activator	activator	?	?	?	?

chebi	CHEBI:35480	analgesic		?	?	?	?


chebi	CHEBI:77750	ATP/ADP translocase inhibitor	inhibitor	protein family	?


chebi	CHEBI:35818	coccidiostat		?	?	?	?


chebi	CHEBI:77307	cardioprotective agent		?	?	?	?
chebi	CHEBI:64926	serine protease inhibitor		?	?	?	?
chebi	CHEBI:26645	semiochemical		?	?	?	?
chebi	CHEBI:146222	ryanoid insecticide		?	?	?	?
chebi	CHEBI:24942	juvenile hormone mimic		?	?	?	?
chebi	CHEBI:39318	tetrazine acaricide		?	?	?	?
chebi	CHEBI:60218	mimotope		?	?	?	?
chebi	CHEBI:64857	cosmetic		?	?	?	?
chebi	CHEBI:35820	antiprotozoal drug		?	?	?	?
chebi	CHEBI:50513	mydriatic agent		?	?	?	?
chebi	CHEBI:33280	molecular messenger		?	?	?	?
chebi	CHEBI:23366	compatible osmolytes		?	?	?	?
chebi	CHEBI:70868	antileishmanial agent		?	?	?	?
chebi	CHEBI:73182	plant activator		?	?	?	?
chebi	CHEBI:74352	quinol oxidation site inhibitor		?	?	?	?
chebi	CHEBI:78007	foaming agent		?	?	?	?
chebi	CHEBI:59745	chromatographic reagent		?	?	?	?
chebi	CHEBI:50268	GABA modulator		?	?	?	?
chebi	CHEBI:60601	delta-opioid agent		?	?	?	?
chebi	CHEBI:64088	incretin mimetic		?	?	?	?
chebi	CHEBI:35942	neurotransmitter agent		?	?	?	?
chebi	CHEBI:75835	anti-anaemic agent		?	?	?	?
chebi	CHEBI:91139	elastin-laminin receptor agonist		?	?	?	?
chebi	CHEBI:75282	ergosterol biosynthesis inhibitor		?	?	?	?
chebi	CHEBI:50267	protective agent		?	?	?	?
chebi	CHEBI:35474	anxiolytic drug		?	?	?	?
chebi	CHEBI:72294	nerve growth factor stimulator		?	?	?	?
chebi	CHEBI:24852	insecticide		?	?	?	?
chebi	CHEBI:132710	xenoantigen		?	?	?	?
chebi	CHEBI:78299	environmental food contaminant		?	?	?	?
chebi	CHEBI:75050	chromogenic compound		?	?	?	?
chebi	CHEBI:35841	uricosuric drug		?	?	?	?
chebi	CHEBI:52216	photobiochemical role		?	?	?	?
chebi	CHEBI:138015	endocrine disruptor		?	?	?	?
chebi	CHEBI:70998	G-protein-coupled receptor agonist		?	?	?	?
chebi	CHEBI:67126	colorimetric reagent		?	?	?	?
chebi	CHEBI:133022	B-cell lymphoma 2 inhibitor		?	?	?	?
chebi	CHEBI:73668	peptide coupling reagent		?	?	?	?
chebi	CHEBI:136645	profungicide		?	?	?	?
chebi	CHEBI:139180	nicotinic acid adenine dinucleotide phosphate receptor antagonist		?	?	?	?
chebi	CHEBI:33937	macronutrient		?	?	?	?
chebi	CHEBI:74914	microarray analysis reagent		?	?	?	?
chebi	CHEBI:83612	hepatic steatosis inducing agent		?	?	?	?
chebi	CHEBI:35856	lipoxygenase inhibitor		?	?	?	?
chebi	CHEBI:76977	corticotropin-releasing factor receptor antagonist		?	?	?	?
chebi	CHEBI:38323	cholinergic drug		?	?	?	?
chebi	CHEBI:23582	defoliant		?	?	?	?
chebi	CHEBI:76595	nephroprotective agent		?	?	?	?
chebi	CHEBI:91085	collagen cross-linking inhibitor		?	?	?	?
chebi	CHEBI:37848	plant hormone		?	?	?	?
chebi	CHEBI:33893	reagent		?	?	?	?
chebi	CHEBI:50370	parasympatholytic		?	?	?	?
chebi	CHEBI:85180	nonnucleoside hepatitis C virus polymerase inhibitor		?	?	?	?
chebi	CHEBI:73623	tolerogen		?	?	?	?
chebi	CHEBI:27311	volatile oil component		?	?	?	?
chebi	CHEBI:90767	eukaryotic translation elongation factor 1alpha 1 inhibitor		?	?	?	?
chebi	CHEBI:83734	sterol demethylation inhibitor		?	?	?	?
chebi	CHEBI:48356	protic solvent		?	?	?	?
chebi	CHEBI:78681	tropomyosin-related kinase B receptor antagonist		?	?	?	?
chebi	CHEBI:76989	phytoestrogen		?	?	?	?
chebi	CHEBI:35222	inhibitor		?	?	?	?
chebi	CHEBI:65191	second generation antipsychotic		?	?	?	?
chebi	CHEBI:24937	jasmonates		?	?	?	?
chebi	CHEBI:50646	bone density conservation agent		?	?	?	?
chebi	CHEBI:78031	Wnt signalling inhibitor		?	?	?	?
chebi	CHEBI:66991	sympatholytic agent		?	?	?	?
chebi	CHEBI:50780	appetite regulator		?	?	?	?
chebi	CHEBI:37886	adrenergic agonist		?	?	?	?
chebi	CHEBI:47868	photosensitizing agent		?	?	?	?
chebi	CHEBI:33295	diagnostic agent		?	?	?	?
chebi	CHEBI:39442	fluorescent probe		?	?	?	?
chebi	CHEBI:137431	antihypotensive agent		?	?	?	?
chebi	CHEBI:35443	anthelminthic drug		?	?	?	?
chebi	CHEBI:51577	partial prostacyclin agonist		?	?	?	?
chebi	CHEBI:36710	interferon inducer		?	?	?	?
chebi	CHEBI:72483	vesicular glutamate transport inhibitor		?	?	?	?
chebi	CHEBI:48540	beta-adrenergic drug		?	?	?	?
chebi	CHEBI:33292	fuel		?	?	?	?
chebi	CHEBI:63175	peptidomimetic		?	?	?	?
chebi	CHEBI:88048	cyanotoxin		?	?	?	?
chebi	CHEBI:24020	fat-soluble vitamin		?	?	?	?
chebi	CHEBI:26671	sideramine		?	?	?	?
chebi	CHEBI:143001	GABAB receptor agonist		?	?	?	?
chebi	CHEBI:90710	receptor modulator		?	?	?	?
chebi	CHEBI:24527	herbicide		?	?	?	?
chebi	CHEBI:74518	anti-obesity agent		?	?	?	?
chebi	CHEBI:26842	systemic acquired resistance inducing compounds		?	?	?	?
chebi	CHEBI:35674	antihypertensive agent		?	?	?	?
chebi	CHEBI:73273	sodium-glucose transport protein subtype 2 inhibitor		?	?	?	?
chebi	CHEBI:25491	nematicide		?	?	?	?
chebi	CHEBI:59544	phosphoantigen		?	?	?	?
chebi	CHEBI:22476	amino acid derivative antibiotics		?	?	?	?
chebi	CHEBI:26130	biological pigment		?	?	?	?



chebi	CHEBI:143131	ferric yersiniabactin		?	?	?	?
chebi	CHEBI:73190	antimutagen		?	?	?	?
chebi	CHEBI:50406	probe		?	?	?	?
chebi	CHEBI:136860	antidote to sarin poisoning		?	?	?	?
chebi	CHEBI:50691	abortifacient		?	?	?	?
chebi	CHEBI:33281	antimicrobial agent		?	?	?	?
chebi	CHEBI:35660	HIV protease inhibitor		?	?	?	?
chebi	CHEBI:50630	cyclooxygenase 1 inhibitor		?	?	?	?
chebi	CHEBI:47867	indicator		?	?	?	?
chebi	CHEBI:35470	central nervous system drug		?	?	?	?
chebi	CHEBI:33290	food		?	?	?	?
chebi	CHEBI:35205	chemical tracer		?	?	?	?
chebi	CHEBI:78003	food bleaching agent		?	?	?	?
chebi	CHEBI:136648	prosafener		?	?	?	?
chebi	CHEBI:59174	hapten		?	?	?	?
chebi	CHEBI:65255	food preservative		?	?	?	?
