chebi_id	wikidata_id
CHEBI:7	Q15222640
CHEBI:8	Q27105189
CHEBI:9	Q27105190
CHEBI:10	Q27105191
CHEBI:11	Q27105192
CHEBI:17	Q27105193
CHEBI:20	Q27105194
CHEBI:22	Q27105195
CHEBI:23	Q27105196
CHEBI:24	Q27105197
CHEBI:25	Q27105198
CHEBI:26	Q27105199
CHEBI:28	Q27105200
CHEBI:29	Q27105201
CHEBI:30	Q27105202
CHEBI:31	Q27105203
CHEBI:32	Q27105204
CHEBI:33	Q27105205
CHEBI:36	Q413147
CHEBI:37	Q27105207
CHEBI:38	Q27105208
CHEBI:39	Q418035
CHEBI:40	Q3388802
CHEBI:41	Q27105210
CHEBI:42	Q27105211
CHEBI:43	Q27105212
CHEBI:47	Q7663351
CHEBI:49	Q7706612
CHEBI:53	Q27105214
CHEBI:60	Q27105215
CHEBI:61	Q27105216
CHEBI:62	Q27105217
CHEBI:63	Q27105218
CHEBI:64	Q27105219
CHEBI:65	Q27105220
CHEBI:73	Q27105221
CHEBI:75	Q27105223
CHEBI:76	Q15410275
CHEBI:77	Q27105224
CHEBI:78	Q27105225
CHEBI:79	Q4787603
CHEBI:80	Q27105226
CHEBI:84	Q27105227
CHEBI:87	Q27105228
CHEBI:88	Q27105229
CHEBI:89	Q27105230
CHEBI:90	Q23050136
CHEBI:92	Q27105231
CHEBI:93	Q27105232
CHEBI:98	Q27105233
CHEBI:99	Q27105234
CHEBI:100	Q56036865
CHEBI:104	Q6817577
CHEBI:105	Q27105236
CHEBI:106	Q27105237
CHEBI:107	Q27105238
CHEBI:109	Q27105239
CHEBI:110	Q27105240
CHEBI:111	Q7269871
CHEBI:112	Q27105241
CHEBI:113	Q27890466
CHEBI:114	Q27105242
CHEBI:115	Q27105244
CHEBI:116	Q27105245
CHEBI:118	Q27105247
CHEBI:119	Q27105248
CHEBI:120	Q27105249
CHEBI:122	Q27105250
CHEBI:123	Q27105251
CHEBI:125	Q179896
CHEBI:126	Q27105252
CHEBI:128	Q27105253
CHEBI:129	Q27105254
CHEBI:141	Q27105255
CHEBI:146	Q27105256
CHEBI:149	Q27105257
CHEBI:150	Q27105258
CHEBI:151	Q27105259
CHEBI:152	Q27105260
CHEBI:153	Q27105261
CHEBI:154	Q27105262
CHEBI:155	Q27105263
CHEBI:158	Q27105266
CHEBI:160	Q66723041
CHEBI:165	Q27067421
CHEBI:166	Q27105267
CHEBI:168	Q27105270
CHEBI:192	Q27105271
CHEBI:204	Q27105272
CHEBI:211	Q27105273
CHEBI:212	Q27105274
CHEBI:214	Q27105275
CHEBI:218	Q27105276
CHEBI:227	Q27891515
CHEBI:228	Q27105277
CHEBI:232	Q27105278
CHEBI:233	Q27105280
CHEBI:235	Q27105282
CHEBI:241	Q27105283
CHEBI:242	Q27105284
CHEBI:268	Q27105285
CHEBI:269	Q27105286
CHEBI:270	Q27105287
CHEBI:272	Q5204254
CHEBI:282	Q27105288
CHEBI:286	Q27105289
CHEBI:299	Q413787
CHEBI:300	Q27105290
CHEBI:301	Q25933788
CHEBI:365	Q27105292
CHEBI:367	Q25933668
CHEBI:368	Q27105293
CHEBI:371	Q27105294
CHEBI:422	Q27080955
CHEBI:431	Q27105296
CHEBI:433	Q27105297
CHEBI:444	Q27105298
CHEBI:448	Q27105299
CHEBI:453	Q27105300
CHEBI:469	Q27070798
CHEBI:470	Q27105301
CHEBI:479	Q27105302
CHEBI:488	Q27105303
CHEBI:507	Q27105304
CHEBI:508	Q27105305
CHEBI:512	Q27105306
CHEBI:513	Q27105307
CHEBI:514	Q27105308
CHEBI:520	Q1763092
CHEBI:534	Q27105309
CHEBI:540	Q27105310
CHEBI:581	Q27105312
CHEBI:582	Q27105314
CHEBI:583	Q27105315
CHEBI:611	Q27105316
CHEBI:613	Q27105317
CHEBI:614	Q27105318
CHEBI:615	Q27105319
CHEBI:616	Q27105320
CHEBI:631	Q27105321
CHEBI:636	Q27105323
CHEBI:641	Q161645
CHEBI:663	Q27105324
CHEBI:666	Q27105325
CHEBI:668	Q27105326
CHEBI:669	Q3740715
CHEBI:670	Q3560549
CHEBI:671	Q27105327
CHEBI:692	Q27105328
CHEBI:694	Q27105329
CHEBI:695	Q27105330
CHEBI:701	Q6542996
CHEBI:705	Q27105331
CHEBI:706	Q27105332
CHEBI:708	Q27105333
CHEBI:709	Q27105334
CHEBI:712	Q27105335
CHEBI:715	Q27105336
CHEBI:716	Q27105337
CHEBI:719	Q27105339
CHEBI:720	Q27105340
CHEBI:721	Q27105341
CHEBI:722	Q27105342
CHEBI:723	Q27105343
CHEBI:724	Q27105344
CHEBI:732	Q27105345
CHEBI:743	Q27105346
CHEBI:744	Q27105348
CHEBI:748	Q27105350
CHEBI:754	Q27105352
CHEBI:756	Q27105353
CHEBI:763	Q4724191
CHEBI:766	Q27105354
CHEBI:769	Q21099580
CHEBI:771	Q27105355
CHEBI:772	Q27105356
CHEBI:776	Q27067422
CHEBI:781	Q27105357
CHEBI:783	Q27105358
CHEBI:791	Q26998368
CHEBI:792	Q27105359
CHEBI:797	Q27105360
CHEBI:798	Q27105361
CHEBI:799	Q27105362
CHEBI:801	Q27105363
CHEBI:802	Q27105364
CHEBI:835	Q27105365
CHEBI:836	Q27105367
CHEBI:845	Q27105368
CHEBI:847	Q27105370
CHEBI:848	Q27105371
CHEBI:855	Q27105372
CHEBI:857	Q27105373
CHEBI:860	Q27105374
CHEBI:864	Q27105375
CHEBI:882	Q2823199
CHEBI:888	Q415659
CHEBI:894	Q27105376
CHEBI:901	Q27105377
CHEBI:904	Q27105378
CHEBI:915	Q27105379
CHEBI:920	Q416626
CHEBI:929	Q27105380
CHEBI:943	Q416231
CHEBI:945	Q420284
CHEBI:948	Q10880252
CHEBI:949	Q411727
CHEBI:952	Q27105381
CHEBI:955	Q421420
CHEBI:957	Q2286646
CHEBI:961	Q27105383
CHEBI:963	Q27105384
CHEBI:968	Q27105385
CHEBI:969	Q27105386
CHEBI:978	Q27105387
CHEBI:982	Q27105388
CHEBI:991	Q3598002
CHEBI:994	Q2823201
CHEBI:994	Q28529683
CHEBI:1012	Q27105390
CHEBI:1014	Q27105391
CHEBI:1015	Q2031743
CHEBI:1018	Q27105392
CHEBI:1019	Q27105393
CHEBI:1026	Q27105394
CHEBI:1040	Q27105395
CHEBI:1046	Q27105396
CHEBI:1060	Q27105397
CHEBI:1088	Q27105398
CHEBI:1090	Q27105399
CHEBI:1098	Q27105400
CHEBI:1107	Q27105401
CHEBI:1109	Q27105402
CHEBI:1110	Q27105403
CHEBI:1113	Q27105404
CHEBI:1121	Q27105405
CHEBI:1126	Q27105406
CHEBI:1127	Q27105407
CHEBI:1139	Q27105409
CHEBI:1141	Q27105410
CHEBI:1142	Q27105411
CHEBI:1148	Q3288610
CHEBI:1156	Q27105413
CHEBI:1157	Q339734
CHEBI:1159	Q27105414
CHEBI:1162	Q27105415
CHEBI:1171	Q27105417
CHEBI:1177	Q27105418
CHEBI:1178	Q27105419
CHEBI:1182	Q27105420
CHEBI:1188	Q27105422
CHEBI:1189	Q27105423
CHEBI:1191	Q27105424
CHEBI:1196	Q27105425
CHEBI:1217	Q15999703
CHEBI:1220	Q27105427
CHEBI:1221	Q27105428
CHEBI:1224	Q4596909
CHEBI:1228	Q27105429
CHEBI:1230	Q27895304
CHEBI:1237	Q425555
CHEBI:1241	Q27105431
CHEBI:1243	Q27105432
CHEBI:1254	Q27105433
CHEBI:1263	Q27105434
CHEBI:1274	Q27105435
CHEBI:1277	Q27105436
CHEBI:1283	Q27105437
CHEBI:1294	Q27105438
CHEBI:1296	Q27067423
CHEBI:1298	Q27105439
CHEBI:1301	Q27105440
CHEBI:1307	Q27105441
CHEBI:1309	Q27105442
CHEBI:1310	Q27105443
CHEBI:1322	Q27105444
CHEBI:1336	Q27105445
CHEBI:1367	Q26841257
CHEBI:1368	Q27105446
CHEBI:1369	Q27105447
CHEBI:1372	Q2823196
CHEBI:1374	Q27105448
CHEBI:1387	Q262270
CHEBI:1390	Q4634063
CHEBI:1391	Q69488
CHEBI:1394	Q27105449
CHEBI:1395	Q27105450
CHEBI:1403	Q27105451
CHEBI:1406	Q27105452
CHEBI:1416	Q27105453
CHEBI:1418	Q2423649
CHEBI:1427	Q10395558
CHEBI:1428	Q27105454
CHEBI:1438	Q27105456
CHEBI:1439	Q27105457
CHEBI:1442	Q27105458
CHEBI:1445	Q4634178
CHEBI:1446	Q27105459
CHEBI:1449	Q27105460
CHEBI:1456	Q27105461
CHEBI:1457	Q5891790
CHEBI:1458	Q27105462
CHEBI:1461	Q27105463
CHEBI:1463	Q27105465
CHEBI:1467	Q27105466
CHEBI:1472	Q27105467
CHEBI:1475	Q27105468
CHEBI:1506	Q18349093
CHEBI:1531	Q27105469
CHEBI:1543	Q27105470
CHEBI:1547	Q2815992
CHEBI:1556	Q27105471
CHEBI:1576	Q223097
CHEBI:1579	Q27105473
