hgnc_id	hgnc_symbol	gene_wikidata_id	uniprot_id	protein_wikidata_id
100	ASIC1	Q17709197	P78348	Q21102075
10000	RGS4	Q18253738	A0A024R909	Q21150989
10000	RGS4	Q18253738	E9PR32	Q21137511
10000	RGS4	Q18253738	P49798	Q4047848
10001	RGS5	Q18032978	A0A024R8X9	Q21151076
10001	RGS5	Q18032978	E9PS96	Q21142336
10001	RGS5	Q18032978	O15539	Q21134205
10002	RGS6	Q18034504	A0A087WTW9	Q21149796
10002	RGS6	Q18034504	P49758	Q21173720
10003	RGS7	Q18031117	P49802	Q21174780
10004	RGS9	Q18033370	J3QL70	Q21150258
10004	RGS9	Q18033370	O75916	Q21202201
10006	RHAG	Q18031123	Q02094	Q21125069
10007	RHBDL1	Q18033770	O75783	Q21122690
10008	RHCE	Q18031124	P18577	Q21122693
10009	RHD	Q18031125	Q02161	Q21135390
1001	BCL6	Q17847411	C9JL16	Q21142778
1001	BCL6	Q17847411	P41182	Q21116345
10011	RHEB	Q18031127	Q15382	Q21117636
10012	RHO	Q14859555	P08100	Q423107
10013	GRK1	Q18031129	Q15835	Q7321216
10017	RIT2	Q18031133	Q99578	Q21122026
10018	RING1	Q18031134	Q06587	Q21131176
10019	RIPK1	Q18033276	Q13546	Q21101871
1002	BCL6B	Q18053821	A8KA13	Q21113870
1002	BCL6B	Q18053821	Q8N143	Q21113891
10020	RIPK2	Q18033332	O43353	Q21111679
10021	RIPK3	Q18036048	Q9Y572	Q21111738
10023	RIT1	Q18031135	Q92963	Q21122025
10023	RIT1	Q18031135	V9GYC3	Q21143475
10024	RLBP1	Q18031137	P12271	Q7316773
10025	RLF	Q18031138	Q13129	Q21173781
10026	RLN1	Q18031132	P04808	Q21126127
10027	RLN2	Q18031139	P04090	Q21126112
1004	BCL7A	Q17847519	Q4VC05	Q21113885
10044	RNASE1	Q18031150	P07998	Q21125071
10045	RNASE2	Q15311603	P10153	Q5381899
10046	RNASE3	Q15311600	P12724	Q22677314
10047	RNASE4	Q18031151	P34096	Q22679598
10048	RNASE6	Q18031153	Q6IB39	Q21137079
10048	RNASE6	Q18031153	Q93091	Q21123849
1005	BCL7B	Q18033961	Q9BQE9	Q21113900
10050	RNASEL	Q14877422	Q05823	Q21107689
10055	RNF10	Q18034883	H0YGL7	Q21140362
10055	RNF10	Q18034883	Q8N5U6	Q21175100
10056	RNF11	Q18038538	Q9Y3C5	Q21173595
10057	RNF13	Q18036487	H7C5Q6	Q21137488
10057	RNF13	Q18036487	O43567	Q21174947
10058	RNF14	Q18034412	D6R996	Q21117867
10058	RNF14	Q18034412	Q9UBS8	Q21097359
10059	TRIM38	Q18035415	O00635	Q21114635
1006	BCL7C	Q18033960	Q8WUZ0	Q21113898
10060	RNF17	Q18042310	Q9BXT8	Q21174950
10061	RNF2	Q18031156	Q99496	Q21131178
10061	RNF2	Q18031156	X6RFN3	Q21149734
10062	RNF20	Q18042342	Q5VTR2	Q21112634
10063	TRIM34	Q18040709	Q9BYJ4	Q21122227
10064	TRIM3	Q18035528	O75382	Q21174510
10065	TRIM39	Q18042452	A2AAZ3	Q21117609
10065	TRIM39	Q18042452	Q9HCM9	Q21109680
10066	PCGF3	Q18035306	Q3KNV8	Q21113884
10067	RNF4	Q18031158	D6RAD8	Q21141519
10067	RNF4	Q18031158	P78317	Q21174948
10068	RNF5	Q18031159	Q99942	Q21116213
10069	RNF6	Q18031160	Q9Y252	Q21097370
10070	RNF7	Q18034418	Q9UBF6	Q21131804
10071	RNF8	Q18033767	O76064	Q21118319
10072	TRIM10	Q18035033	Q9UDY6	Q21126858
10073	RNGTT	Q18033266	O60942	Q21119981
10074	RNH1	Q18031161	E9PIK5	Q21137008
10074	RNH1	Q18031161	P13489	Q22675831
10075	RNMT	Q18033263	O43148	Q21119977
10078	RNPEP	Q18031162	H7C2T3	Q21144261
10078	RNPEP	Q18031162	Q9H4A4	Q22679443
10079	RNPEPL1	Q18042922	Q9HAU8	Q21122721
1008	BCL9	Q17847588	O00512	Q21115298
10080	RNPS1	Q18035950	H3BRK4	Q21152299
10080	RNPS1	Q18035950	Q15287	Q21123257
101	ASIC3	Q18033990	Q9UHC3	Q21102111
1012	OPN1SW	Q17847675	P03999	Q21123633
1014	BCR	Q18292821	H0Y554	Q21138729
1014	BCR	Q18292821	P11274	Q903924
102	CNNM1	Q18038266	Q9NRU3	Q21109874
1020	BCS1L	Q17847759	H7BZF6	Q21142015
1020	BCS1L	Q17847759	Q9Y276	Q21113912
10241	PHAX	Q18040597	Q9H814	Q21126819
10249	ROBO1	Q18031201	Q9Y6N7	Q21134300
10250	ROBO2	Q18031202	H7C4U9	Q21149774
10250	ROBO2	Q18031202	Q9HCK4	Q21134297
10251	ROCK1	Q18031203	Q13464	Q21100658
10252	ROCK2	Q18034313	C9JFJ0	Q21151747
10252	ROCK2	Q18034313	O75116	Q21127094
10253	PTBP3	Q18034938	O95758	Q21135192
10254	ROM1	Q18031205	Q03395	Q21134395
10256	ROR1	Q18030230	Q01973	Q21110113
10257	ROR2	Q14897652	Q01974	Q7277408
10258	RORA	Q15326496	P35398	Q7275807
10259	RORB	Q18031206	Q58EY0	Q29474759
10259	RORB	Q18031206	Q92753	Q21117235
10260	RORC	Q18031207	P51449	Q21109596
10261	ROS1	Q18031208	P08922	Q21120491
10263	RP1	Q18031210	P56715	Q21127101
1027	BDH1	Q17847967	C9JM78	Q21149343
1027	BDH1	Q17847967	Q02338	Q21111664
10274	RP2	Q18031212	O75695	Q21135928
10288	RP9	Q18031209	Q8TA86	Q21127107
10289	RPA1	Q18031219	I3L4R8	Q21145933
10289	RPA1	Q18031219	P27694	Q21109589
1029	BDKRB1	Q18016454	P46663	Q21111689
10290	RPA2	Q18031220	P15927	Q21115044
10291	RPA3	Q18031221	P35244	Q21133430
10293	RPE	Q18031222	E7ESZ6	Q21147296
10293	RPE	Q18031222	Q96AT9	Q22678694
10294	RPE65	Q18031223	Q16518	Q21123400
10295	RPGR	Q18031213	H7C4L1	Q21149155
10295	RPGR	Q18031213	Q92834	Q21174713
10296	RPH3AL	Q18034333	A0A0J9YWA6	Q21141302
10296	RPH3AL	Q18034333	Q9UNE2	Q21123408
10297	RPIA	Q18036606	P49247	Q21173263
10298	RPL10	Q18031234	H7C2C5	Q21139192
10298	RPL10	Q18031234	P27635	Q21174814
10299	RPL10A	Q18030012	P62906	Q21133711
103	CNNM2	Q18041268	Q9H8M5	Q21109872
1030	BDKRB2	Q4955260	P30411	Q21111688
10301	RPL11	Q18031235	P62913	Q21133174
10301	RPL11	Q18031235	Q5VVD0	Q21149486
10302	RPL12	Q18031236	P30050	Q21131472
10303	RPL13	Q18031237	P26373	Q21172216
10304	RPL13A	Q18037238	M0QYS1	Q21117821
10304	RPL13A	Q18037238	P40429	Q21174580
10305	RPL14	Q18033782	P50914	Q4641655
10306	RPL15	Q18031238	A0A024R2Q4	Q21151260
10306	RPL15	Q18031238	P61313	Q21133558
10307	RPL17	Q18031239	J3KRB3	Q21140637
10307	RPL17	Q18031239	P18621	Q21132898
10310	RPL18	Q18031240	F8VUA6	Q21149779
10310	RPL18	Q18031240	Q07020	Q21207857
10311	RPL18A	Q18031241	M0R3D6	Q21144150
10311	RPL18A	Q18031241	Q02543	Q21134282
10312	RPL19	Q18031242	P84098	Q21134209
10313	RPL21	Q18031243	P46778	Q21135023
10315	RPL22	Q18031245	K7EP65	Q21141597
10315	RPL22	Q18031245	P35268	Q21125080
10316	RPL23	Q18034019	J3QQT9	Q21150259
10316	RPL23	Q18034019	P62829	Q22678348
10317	RPL23A	Q18031246	K7ERT8	Q21137460
10317	RPL23A	Q18031246	P62750	Q21133710
10322	MRPL23	Q18031248	H7C2P7	Q21149698
10322	MRPL23	Q18031248	Q16540	Q21134179
10325	RPL24	Q18031249	P83731	Q21133819
10327	RPL26	Q18031250	J3QRI7	Q21139743
10327	RPL26	Q18031250	P61254	Q21134213
10328	RPL27	Q18031251	K7ELC7	Q21150471
10328	RPL27	Q18031251	P61353	Q21134394
10329	RPL27A	Q18031253	P46776	Q21134212
1033	BDNF	Q14863330	P23560	Q123045
10330	RPL28	Q18031254	P46779	Q4641656
10331	RPL29	Q18031255	P47914	Q21134210
10332	RPL3	Q18031224	H7C3M2	Q21149879
10332	RPL3	Q18031224	P39023	Q21174931
10333	RPL30	Q18031252	E5RI99	Q21139149
10333	RPL30	Q18031252	P62888	Q21133559
10334	RPL31	Q18031256	H7C2W9	Q21150451
10334	RPL31	Q18031256	P62899	Q4641660
10336	RPL32	Q18031257	P62910	Q21133432
1034	BECN1	Q3631793	K7ER46	Q21142933
1034	BECN1	Q3631793	Q14457	Q21097409
10340	RPL34	Q18031259	P49207	Q21134480
10344	RPL35	Q18036412	P42766	Q4641659
10345	RPL35A	Q18031260	P18077	Q21134479
10346	RPL36AL	Q18031261	Q969Q0	Q21133455
10347	RPL37	Q18031262	P61927	Q21134215
10348	RPL37A	Q18031263	P61513	Q21130832
10349	RPL38	Q18031264	P63173	Q4641661
10350	RPL39	Q18031265	P62891	Q21134216
10351	RPL3L	Q18031225	Q92901	Q21135393
10353	RPL4	Q18031226	P36578	Q21173291
10354	RPL41	Q18031266	P62945	Q4641662
10359	RPL36A	Q18031268	P83881	Q21202213
1036	BEX1	Q18042118	Q9HBH7	Q21111670
10360	RPL5	Q18031227	P46777	Q21101014
10360	RPL5	Q18031227	Q5T7N0	Q21143433
10362	RPL6	Q18031229	Q02878	Q21135395
10363	RPL7	Q18031230	P18124	Q21201222
10364	RPL7A	Q18031231	P62424	Q21134482
10368	RPL8	Q18031232	E9PKZ0	Q21149674
10368	RPL8	Q18031232	P62917	Q21133560
10369	RPL9	Q18031233	P32969	Q21131860
1037	CFB	Q18251054	P00751	Q4256414
10371	RPLP0	Q18031271	A0A024RBS2	Q21149444
10371	RPLP0	Q18031271	F8VW21	Q21151413
10371	RPLP0	Q18031271	P05388	Q21132434
10372	RPLP1	Q18031272	A0A024R608	Q21149276
10372	RPLP1	Q18031272	P05386	Q21133566
10377	RPLP2	Q18031273	P05387	Q21133572
10378	MRPL12	Q18031274	P52815	Q21123372
10379	MRPL3	Q18036410	P09001	Q21117740
10380	MRPS12	Q18031275	O15235	Q21114751
10381	RPN1	Q18031276	P04843	Q21120565
10382	RPN2	Q18031277	F2Z3K5	Q21141970
10382	RPN2	Q18031277	P04844	Q21120566
10383	RPS10	Q18031297	P46783	Q21134173
10384	RPS11	Q18031298	P62280	Q21133708
10385	RPS12	Q18031299	P25398	Q21135045
10386	RPS13	Q18031300	P62277	Q21133342
10387	RPS14	Q18031301	P62263	Q21103444
10388	RPS15	Q18031302	P62841	Q21170913
10388	RPS15	Q18031302	S4R456	Q21138932
10389	RPS15A	Q18031303	P62244	Q21122722
10396	RPS16	Q18031304	P62249	Q21133707
10397	RPS17	Q18031305	P08708	Q21134222
104	CNNM3	Q18038265	Q8NE01	Q21113962
1040	BFSP1	Q17848118	Q12934	Q21102112
10401	RPS18	Q18031307	P62269	Q21134488
10402	RPS19	Q18031308	P39019	Q21202205
10404	RPS2	Q18031279	H0YE27	Q21138451
10404	RPS2	Q18031279	P15880	Q21133703
10405	RPS20	Q18031309	P60866	Q21121616
10409	RPS21	Q18031312	P63220	Q21133576
1041	BFSP2	Q18032917	Q13515	Q21102113
10410	RPS23	Q18031313	P62266	Q21131898
10411	RPS24	Q18031314	P62847	Q21135932
10413	RPS25	Q18031316	P62851	Q21133049
10414	RPS26	Q18031317	P62854	Q21209364
10416	RPS27	Q18031318	P42677	Q21207623
10417	RPS27A	Q18031319	P62979	Q21131865
10418	RPS28	Q18031320	P62857	Q21113935
10419	RPS29	Q18031321	P62273	Q21135931
10420	RPS3	Q18031280	P23396	Q21171526
10421	RPS3A	Q18031281	H0Y8L7	Q21150826
10421	RPS3A	Q18031281	P61247	Q21133140
10424	RPS4X	Q18031282	P62701	Q21126192
10425	RPS4Y1	Q18031283	C9JEH7	Q21149006
10425	RPS4Y1	Q18031283	P22090	Q21126189
10426	RPS5	Q18031284	A0A024R4Q8	Q21137469
10426	RPS5	Q18031284	P46782	Q21121245
10429	RPS6	Q7322419	P62753	Q21133386
