source_db	source_id	source_name	modulation	type	target_db	target_id	target_name
chebi	CHEBI:133016	5-hydroxytryptamine 2A receptor inverse agonist	inverse agonist	protein	hgnc	5293	HTR2A
chebi	CHEBI:142184	5-hydroxytryptamine 2B receptor agonist	agonist	protein	hgnc	5294	HTR2B
chebi	CHEBI:64102	AMPA receptor agonist	agonist	protein family	fplx	GRIA	GRIA
chebi	CHEBI:64102	AMPA receptor agonist	agonist	molecular function	go	GO:0004971	AMPA glutamate receptor activity
chebi	CHEBI:71014	AMPA receptor antagonist	antagonist	protein family	fplx	GRIA	GRIA
chebi	CHEBI:67199	AP-1 antagonist	antagonist	protein family	fplx	AP1	AP1
chebi	CHEBI:20854	ATP synthase inhibitor	inhibitor	protein family	fplx	ATP_synthase	ATP_synthase
chebi	CHEBI:145438	C-X-C chemokine receptor type 4 antagonist	antagonist	protein	hgnc	2561	CXCR4
chebi	CHEBI:73416	CB1 receptor antagonist	antagonist	protein	hgnc	2159	CNR1
chebi	CHEBI:73417	CB2 receptor antagonist	antagonist	protein	hgnc	2160	CNR2
chebi	CHEBI:49205	CETP inhibitor	inhibitor	protein	hgnc	1869	CETP
chebi	CHEBI:49205	CETP inhibitor	inhibitor	protein	pr	PR:000005373	cholesteryl ester transfer protein
chebi	CHEBI:38234	DNA polymerase inhibitor	inhibitor	molecular function	go	GO:0034061	DNA polymerase activity
chebi	CHEBI:59517	DNA synthesis inhibitor	inhibitor	biological process	go	GO:0071897	DNA biosynthetic process
chebi	CHEBI:76725	EC 1.* (oxidoreductase) inhibitor	inhibitor	protein family	ec-code	1	1
chebi	CHEBI:76726	EC 1.1.* (oxidoreductase acting on donor CH-OH group) inhibitor	inhibitor	protein family	ec-code	1.1	1.1
chebi	CHEBI:76835	EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor	inhibitor	protein family	ec-code	1.1.1	1.1.1
chebi	CHEBI:50269	EC 1.1.1.1 (alcohol dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.1	1.1.1.1
chebi	CHEBI:77108	EC 1.1.1.141 [15-hydroxyprostaglandin dehydrogenase (NAD(+))] inhibitor	inhibitor	protein family	ec-code	1.1.1.141	1.1.1.141
chebi	CHEBI:137626	EC 1.1.1.146 (11beta-hydroxysteroid dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.146	1.1.1.146
chebi	CHEBI:74234	EC 1.1.1.153 [sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)] inhibitor	inhibitor	protein family	ec-code	1.1.1.153	1.1.1.153
chebi	CHEBI:138390	EC 1.1.1.159 (7alpha-hydroxysteroid dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.159	1.1.1.159
chebi	CHEBI:90113	EC 1.1.1.170 [3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)] inhibitor	inhibitor	protein family	ec-code	1.1.1.170	1.1.1.170
chebi	CHEBI:73136	EC 1.1.1.184 [carbonyl reductase (NADPH)] inhibitor	inhibitor	protein family	ec-code	1.1.1.184	1.1.1.184
chebi	CHEBI:77425	EC 1.1.1.188 (prostaglandin-F synthase) inhibitor	inhibitor	protein family	ec-code	1.1.1.188	1.1.1.188
chebi	CHEBI:77119	EC 1.1.1.189 (prostaglandin-E2 9-reductase) inhibitor	inhibitor	protein family	ec-code	1.1.1.189	1.1.1.189
chebi	CHEBI:53746	EC 1.1.1.205 (IMP dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.205	1.1.1.205
chebi	CHEBI:48550	EC 1.1.1.21 (aldehyde reductase) inhibitor	inhibitor	protein family	ec-code	1.1.1.21	1.1.1.21
chebi	CHEBI:50788	EC 1.1.1.210 [3beta(or 20alpha)-hydroxysteroid dehydrogenase] inhibitor	inhibitor	protein family	ec-code	1.1.1.210	1.1.1.210
chebi	CHEBI:77484	EC 1.1.1.25 (shikimate dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.25	1.1.1.25
chebi	CHEBI:77654	EC 1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase) inhibitor	inhibitor	protein family	ec-code	1.1.1.267	1.1.1.267
chebi	CHEBI:35664	EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor	inhibitor	protein family	ec-code	1.1.1.34	1.1.1.34
chebi	CHEBI:35664	EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor	inhibitor	protein family	ec-code	1.1.1.88	1.1.1.88
chebi	CHEBI:140378	EC 1.1.1.37 (malate dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.37	1.1.1.37
chebi	CHEBI:145410	EC 1.1.1.42 (isocitrate dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.42	1.1.1.42
chebi	CHEBI:74520	EC 1.1.1.44 (NADP(+)-dependent decarboxylating phosphogluconate dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.1.44	1.1.1.44
chebi	CHEBI:76836	EC 1.1.3.* (oxidoreductase acting on donor CH-OH group, oxygen as acceptor) inhibitor	inhibitor	protein family	ec-code	1.1.3	1.1.3
chebi	CHEBI:63156	EC 1.1.3.13 (alcohol oxidase) inhibitor	inhibitor	protein family	ec-code	1.1.3.13	1.1.3.13
chebi	CHEBI:76920	EC 1.1.3.9 (galactose oxidase) inhibitor	inhibitor	protein family	ec-code	1.1.3.9	1.1.3.9
chebi	CHEBI:91142	EC 1.1.5.* (oxidoreductase acting on donor CH-OH group, quinone or similar compound as acceptor) inhibitor	inhibitor	protein family	ec-code	1.1.5	1.1.5
chebi	CHEBI:91141	EC 1.1.5.3 (glycerol-3-phosphate dehydrogenase) inhibitor	inhibitor	protein family	ec-code	1.1.5.3	1.1.5.3
chebi	CHEBI:76737	EC 1.10.* (oxidoreductase acting on diphenols and related substances as donors) inhibitor	inhibitor	protein family	ec-code	1.10	1.10
chebi	CHEBI:77105	EC 1.10.2.* (oxidoreductase acting on diphenols and related substances as donors with a cytochrome as acceptor) inhibitor	inhibitor	protein family	ec-code	1.10.2	1.10.2
chebi	CHEBI:77106	EC 1.10.2.2 (quinol--cytochrome-c reductase) inhibitor	inhibitor	protein family	ec-code	1.10.2.2	1.10.2.2
chebi	CHEBI:85048	EC 1.10.3.* (oxidoreductase acting on diphenols and related substances as donors with oxygen as acceptor) inhibitor	inhibitor	protein family	ec-code	1.10.3	1.10.3
chebi	CHEBI:85049	EC 1.10.3.1 (catechol oxidase) inhibitor	inhibitor	protein family	ec-code	1.10.3.1	1.10.3.1
chebi	CHEBI:85050	EC 1.10.3.2 (laccase) inhibitor	inhibitor	protein family	ec-code	1.10.3.2	1.10.3.2
chebi	CHEBI:77019	EC 1.10.99.* (oxidoreductases acting on diphenols and related substances as donors, other acceptors) inhibitor	inhibitor	protein family	ec-code	1.10.99	1.10.99
chebi	CHEBI:77020	EC 1.10.99.2 [ribosyldihydronicotinamide dehydrogenase (quinone)] inhibitor	inhibitor	protein family	ec-code	1.10.99.2	1.10.99.2
chebi	CHEBI:76738	EC 1.11.* (oxidoreductase acting on peroxide as donors) inhibitor	inhibitor	protein family	ec-code	1.11	1.11
chebi	CHEBI:75381	EC 1.11.1.* (peroxidases) inhibitor	inhibitor	protein family	ec-code	1.11.1	1.11.1
chebi	CHEBI:73181	EC 1.11.1.11 (L-ascorbate peroxidase) inhibitor	inhibitor	protein family	ec-code	1.11.1.11	1.11.1.11
chebi	CHEBI:75380	EC 1.11.1.6 (catalase) inhibitor	inhibitor	protein family	ec-code	1.11.1.6	1.11.1.6
chebi	CHEBI:136558	EC 1.11.1.7 (peroxidase) inhibitor	inhibitor	protein family	ec-code	1.11.1.7	1.11.1.7
chebi	CHEBI:79092	EC 1.11.2.* (oxidoreductase with H2O2 as acceptor, incorporating 1 O atom into product) inhibitor	inhibitor	protein family	ec-code	1.11.2	1.11.2
chebi	CHEBI:79093	EC 1.11.2.2 (myeloperoxidase) inhibitor	inhibitor	protein family	ec-code	1.11.2.2	1.11.2.2
chebi	CHEBI:76739	EC 1.12.* (oxidoreductase acting on hydrogen as donors) inhibitor	inhibitor	protein family	ec-code	1.12	1.12
chebi	CHEBI:76740	EC 1.13.* [oxidoreductase acting on single donors with incorporation of molecular oxygen (oxygenases)] inhibitor	inhibitor	protein family	ec-code	1.13	1.13
chebi	CHEBI:76837	EC 1.13.11.* (oxidoreductase acting on single donors and incorporating 2 O atoms) inhibitor	inhibitor	protein family	ec-code	1.13.11	1.13.11
chebi	CHEBI:131961	EC 1.13.11.11 (tryptophan 2,3-dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.11	1.13.11.11
chebi	CHEBI:85051	EC 1.13.11.24 (quercetin 2,3-dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.24	1.13.11.24
chebi	CHEBI:38317	EC 1.13.11.27 (4-hydroxyphenylpyruvate dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.27	1.13.11.27
chebi	CHEBI:64995	EC 1.13.11.31 (arachidonate 12-lipoxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.31	1.13.11.31
chebi	CHEBI:64996	EC 1.13.11.33 (arachidonate 15-lipoxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.33	1.13.11.33
chebi	CHEBI:64964	EC 1.13.11.34 (arachidonate 5-lipoxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.34	1.13.11.34
chebi	CHEBI:72854	EC 1.13.11.52 (indoleamine 2,3-dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.13.11.52	1.13.11.52
chebi	CHEBI:76741	EC 1.14.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitor	inhibitor	protein family	ec-code	1.14	1.14
chebi	CHEBI:76902	EC 1.14.11.* (oxidoreductase acting on paired donors, 2-oxoglutarate as one donor, incorporating 1 atom each of oxygen into both donors) inhibitor	inhibitor	protein family	ec-code	1.14.11	1.14.11
chebi	CHEBI:131844	EC 1.14.11.1 (gamma-butyrobetaine dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.14.11.1	1.14.11.1
chebi	CHEBI:132365	EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.14.11.2	1.14.11.2
chebi	CHEBI:102248	EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor	inhibitor	protein family	ec-code	1.14.11.29	1.14.11.29
chebi	CHEBI:76841	EC 1.14.13.* (oxidoreductase acting on paired donors, incorporating 1 atom of oxygen, with NADH or NADPH as one donor) inhibitor	inhibitor	protein family	ec-code	1.14.13	1.14.13
chebi	CHEBI:59285	EC 1.14.13.132 (squalene monooxygenase) inhibitor	inhibitor	protein family	ec-code	1.14.13.132	1.14.13.132
chebi	CHEBI:77781	EC 1.14.13.181 (13-deoxydaunorubicin hydroxylase) inhibitor	inhibitor	protein family	ec-code	1.14.13.181	1.14.13.181
