source_db	source_id	source_name	modulation	type	target_db	target_id	target_name
chebi	134182	platelet-activating factor receptor antagonist	antagonist	?	hgnc	9582	PTAFR
chebi	134182	platelet-activating factor receptor antagonist	antagonist	?	mesh	C039351	platelet activating factor receptor
chebi	131699	EC 2.7.7.7 (DNA-directed DNA polymerase) inhibitor	inhibitor	?	?	?	?
chebi	62434	EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor	inhibitor	?	?	?	?
chebi	76789	EC 2.4.1.* (hexosyltransferase) inhibitor	inhibitor	?	?	?	?
chebi	59499	EC 3.4.13.* (dipeptidase) inhibitor	inhibitor	?	?	?	?
chebi	75381	EC 1.11.1.* (peroxidases) inhibitor	inhibitor	?	?	?	?
chebi	35222	inhibitor	inhibitor	?	?	?	?
chebi	138931	glutamine antagonist	antagonist	?	chebi	28300	glutamine
chebi	138931	glutamine antagonist	antagonist	?	chebi	18050	L-glutamine
chebi	50926	angiogenesis modulating agent	agent	?	?	?	?
chebi	76790	EC 2.4.2.* (pentosyltransferase) inhibitor	inhibitor	?	?	?	?
chebi	77106	EC 1.10.2.2 (quinol--cytochrome-c reductase) inhibitor	inhibitor	?	?	?	?
chebi	85051	EC 1.13.11.24 (quercetin 2,3-dioxygenase) inhibitor	inhibitor	?	?	?	?
chebi	36413	anabolic agent	agent	?	?	?	?
chebi	50671	antithyroid drug	drug	?	?	?	?
chebi	85185	hepatitis C virus nonstructural protein 5A inhibitor	inhibitor	?	?	?	?
chebi	76795	EC 3.4.22.36 (caspase-1) inhibitor	inhibitor	?	?	?	?
chebi	82823	EC 3.4.22.54 (calpain-3) inhibitor	inhibitor	?	?	?	?
chebi	77118	EC 3.5.5.1 (nitrilase) inhibitor	inhibitor	?	?	?	?
chebi	82665	EC 2.7.11.22 (cyclin-dependent kinase) inhibitor	inhibitor	?	?	?	?
chebi	76710	EC 4.* (lyase) inhibitor	inhibitor	?	?	?	?
chebi	64933	melanin synthesis inhibitor	inhibitor	?	go	0042438	melanin biosynthetic process
chebi	86385	EC 5.3.3.5 (cholestenol Delta-isomerase) inhibitor	inhibitor	?	?	?	?
chebi	82756	EC 6.1.1.12 (aspartate--tRNA ligase) inhibitor	inhibitor	?	?	?	?
chebi	70770	Aurora kinase inhibitor	inhibitor	?	?	?	?
chebi	50750	EC 5.99.1.3 [DNA topoisomerase (ATP-hydrolysing)] inhibitor	inhibitor	?	?	?	?
chebi	142782	TRPV channel modulator	modulator	?	?	?	?
chebi	50912	cardiotoxic agent	agent	?	?	?	?
chebi	76660	EC 2.2.* (aldehyde or ketone transferase) inhibitor	inhibitor	?	?	?	?
chebi	142185	5-hydroxytryptamine 2C receptor agonist	agonist	?	?	?	?
chebi	74352	quinol oxidation site inhibitor	inhibitor	?	?	?	?
chebi	70709	progesterone receptor agonist	agonist	?	hgnc	8910	PGR
chebi	70709	progesterone receptor agonist	agonist	?	mesh	D011980	Receptors, Progesterone
chebi	67232	EC 3.2.1.10 (oligo-1,6-glucosidase) inhibitor	inhibitor	?	?	?	?
chebi	85180	nonnucleoside hepatitis C virus polymerase inhibitor	inhibitor	?	?	?	?
chebi	63332	EC 3.1.3.1 (alkaline phosphatase) inhibitor	inhibitor	?	?	?	?
chebi	63962	Hsp90 inhibitor	inhibitor	?	fplx	HSP90	HSP90
chebi	63962	Hsp90 inhibitor	inhibitor	?	hgnc	5253	HSP90AA1
chebi	78006	food colour retention agent	agent	?	?	?	?
chebi	85540	thromboxane A2 antagonist	antagonist	?	chebi	15627	thromboxane A2
chebi	85540	thromboxane A2 antagonist	antagonist	?	chebi	57445	thromboxane A2(1-)
chebi	53756	HIV-1 reverse transcriptase inhibitor	inhibitor	?	mesh	C514824	reverse transcriptase, Human immunodeficiency virus 1
chebi	65001	EC 3.1.1.3 (triacylglycerol lipase) inhibitor	inhibitor	?	?	?	?
chebi	78926	survivin dimerisation modulator	modulator	?	?	?	?
chebi	48873	cholinergic antagonist	antagonist	?	?	?	?
chebi	133022	B-cell lymphoma 2 inhibitor	inhibitor	?	?	?	?
chebi	75416	EC 6.1.1.* (ligases forming aminoacyl tRNA and related compounds) inhibitor	inhibitor	?	?	?	?
chebi	59229	GnRH antagonist	antagonist	?	mesh	D007987	Gonadotropin-Releasing Hormone
chebi	59229	GnRH antagonist	antagonist	?	hgnc	4419	GNRH1
chebi	75414	platelet-activating factor receptor agonist	agonist	?	hgnc	9582	PTAFR
chebi	75414	platelet-activating factor receptor agonist	agonist	?	mesh	C039351	platelet activating factor receptor
chebi	76775	EC 3.1.3.* (phosphoric monoester hydrolase) inhibitor	inhibitor	?	?	?	?
chebi	50857	anti-allergic agent	agent	?	?	?	?
chebi	85094	EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor	inhibitor	?	?	?	?
chebi	35942	neurotransmitter agent	agent	?	chebi	25512	neurotransmitter
chebi	77703	EC 4.3.1.3 (histidine ammonia-lyase) inhibitor	inhibitor	?	?	?	?
chebi	149497	spin trapping reagent	agent	?	?	?	?
chebi	90113	EC 1.1.1.170 [3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)] inhibitor	inhibitor	?	?	?	?
chebi	132772	EC 3.6.5.5 (dynamin GTPase) inhibitor	inhibitor	?	?	?	?
chebi	90190	EC 2.1.1.37 [DNA (cytosine-5-)-methyltransferase] inhibitor	inhibitor	?	?	?	?
chebi	136537	EC 2.4.2.8 (hypoxanthine phosphoribosyltransferase) inhibitor	inhibitor	?	?	?	?
chebi	83319	EC 1.3.1.70 (Delta(14)-sterol reductase) inhibitor	inhibitor	?	?	?	?
chebi	61774	inositol phosphorylceramide synthase inhibitor	inhibitor	?	?	?	?
chebi	63958	cellulose synthesis inhibitor	inhibitor	?	go	0030244	cellulose biosynthetic process
chebi	63173	T-cell proliferation inhibitor	inhibitor	?	go	0042098	T cell proliferation
chebi	85384	GABA reuptake inhibitor	inhibitor	?	go	0051936	gamma-aminobutyric acid reuptake
chebi	50741	retinoic acid receptor alpha/beta agonist	agonist	?	?	?	?
chebi	20569	EC 2.5.1.19 (3-phosphoshikimate 1-carboxyvinyltransferase) inhibitor	inhibitor	?	?	?	?
chebi	143828	EC 1.14.14.154 (sterol 14alpha-demethylase) inhibitor	inhibitor	?	?	?	?
chebi	140482	neurokinin-3 receptor antagonist	antagonist	?	hgnc	11528	TACR3
chebi	55351	substance P receptor antagonist	antagonist	?	hgnc	11526	TACR1
chebi	76788	EC 3.4.14.* (dipeptidyl- and tripeptidyl-peptidases) inhibitor	inhibitor	?	?	?	?
chebi	139556	EC 4.1.1.17 (ornithine decarboxylase) inhibitor	inhibitor	?	?	?	?
chebi	133891	salt-inducible kinase 2 inhibitor	inhibitor	?	hgnc	21680	SIK2
chebi	52303	sterol methyltransferase inhibitor	inhibitor	?	?	?	?
chebi	131492	Wnt signalling activator	activator	?	?	?	?
chebi	64588	glycine transporter 1 inhibitor	inhibitor	?	?	?	?
chebi	90709	nuclear receptor modulator	modulator	?	?	?	?
chebi	138956	EC 6.3.5.4 [asparagine synthase (glutamine-hydrolysing)] inhibitor	inhibitor	?	?	?	?
