source_db	source_id	source_name	modulation	type	target_db	target_id	target_name
chebi	133016	5-hydroxytryptamine 2A receptor inverse agonist	inverse agonist	protein	hgnc	5293	HTR2A
chebi	142184	5-hydroxytryptamine 2B receptor agonist	agonist	protein	hgnc	5294	HTR2B
chebi	64102	AMPA receptor agonist	agonist	protein family	fplx	GRIA	GRIA
chebi	64102	AMPA receptor agonist	agonist	molecular function	go	0004971	AMPA glutamate receptor activity
chebi	71014	AMPA receptor antagonist	antagonist	protein family	fplx	GRIA	GRIA
chebi	67199	AP-1 antagonist	antagonist	protein family	fplx	AP1	AP1
chebi	20854	ATP synthase inhibitor	inhibitor	protein family	fplx	ATP_synthase	ATP_synthase
chebi	145438	C-X-C chemokine receptor type 4 antagonist	antagonist	protein	hgnc	2561	CXCR4
chebi	73416	CB1 receptor antagonist	antagonist	protein	hgnc	2159	CNR1
chebi	73417	CB2 receptor antagonist	antagonist	protein	hgnc	2160	CNR2
chebi	49205	CETP inhibitor	inhibitor	protein	hgnc	1869	CETP
chebi	49205	CETP inhibitor	inhibitor	protein	pr	000005373	cholesteryl ester transfer protein
chebi	38234	DNA polymerase inhibitor	inhibitor	molecular function	go	0034061	DNA polymerase activity
chebi	59517	DNA synthesis inhibitor	inhibitor	biological process	go	0071897	DNA biosynthetic process
chebi	76725	EC 1.* (oxidoreductase) inhibitor	inhibitor	protein family	eccode	1	1
chebi	76726	EC 1.1.* (oxidoreductase acting on donor CH-OH group) inhibitor	inhibitor	protein family	eccode	1.1	1.1
chebi	76835	EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor	inhibitor	protein family	eccode	1.1.1	1.1.1
chebi	50269	EC 1.1.1.1 (alcohol dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.1	1.1.1.1
chebi	77108	EC 1.1.1.141 [15-hydroxyprostaglandin dehydrogenase (NAD(+))] inhibitor	inhibitor	protein family	eccode	1.1.1.141	1.1.1.141
chebi	137626	EC 1.1.1.146 (11beta-hydroxysteroid dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.146	1.1.1.146
chebi	74234	EC 1.1.1.153 [sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)] inhibitor	inhibitor	protein family	eccode	1.1.1.153	1.1.1.153
chebi	138390	EC 1.1.1.159 (7alpha-hydroxysteroid dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.159	1.1.1.159
chebi	90113	EC 1.1.1.170 [3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)] inhibitor	inhibitor	protein family	eccode	1.1.1.170	1.1.1.170
chebi	73136	EC 1.1.1.184 [carbonyl reductase (NADPH)] inhibitor	inhibitor	protein family	eccode	1.1.1.184	1.1.1.184
chebi	77425	EC 1.1.1.188 (prostaglandin-F synthase) inhibitor	inhibitor	protein family	eccode	1.1.1.188	1.1.1.188
chebi	77119	EC 1.1.1.189 (prostaglandin-E2 9-reductase) inhibitor	inhibitor	protein family	eccode	1.1.1.189	1.1.1.189
chebi	53746	EC 1.1.1.205 (IMP dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.205	1.1.1.205
chebi	48550	EC 1.1.1.21 (aldehyde reductase) inhibitor	inhibitor	protein family	eccode	1.1.1.21	1.1.1.21
chebi	50788	EC 1.1.1.210 [3beta(or 20alpha)-hydroxysteroid dehydrogenase] inhibitor	inhibitor	protein family	eccode	1.1.1.210	1.1.1.210
chebi	77484	EC 1.1.1.25 (shikimate dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.25	1.1.1.25
chebi	77654	EC 1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase) inhibitor	inhibitor	protein family	eccode	1.1.1.267	1.1.1.267
chebi	35664	EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor	inhibitor	protein family	eccode	1.1.1.34	1.1.1.34
chebi	35664	EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor	inhibitor	protein family	eccode	1.1.1.88	1.1.1.88
chebi	140378	EC 1.1.1.37 (malate dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.37	1.1.1.37
chebi	145410	EC 1.1.1.42 (isocitrate dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.42	1.1.1.42
chebi	74520	EC 1.1.1.44 (NADP(+)-dependent decarboxylating phosphogluconate dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.1.44	1.1.1.44
chebi	76836	EC 1.1.3.* (oxidoreductase acting on donor CH-OH group, oxygen as acceptor) inhibitor	inhibitor	protein family	eccode	1.1.3	1.1.3
chebi	63156	EC 1.1.3.13 (alcohol oxidase) inhibitor	inhibitor	protein family	eccode	1.1.3.13	1.1.3.13
chebi	76920	EC 1.1.3.9 (galactose oxidase) inhibitor	inhibitor	protein family	eccode	1.1.3.9	1.1.3.9
chebi	91142	EC 1.1.5.* (oxidoreductase acting on donor CH-OH group, quinone or similar compound as acceptor) inhibitor	inhibitor	protein family	eccode	1.1.5	1.1.5
chebi	91141	EC 1.1.5.3 (glycerol-3-phosphate dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.1.5.3	1.1.5.3
chebi	76737	EC 1.10.* (oxidoreductase acting on diphenols and related substances as donors) inhibitor	inhibitor	protein family	eccode	1.10	1.10
chebi	77105	EC 1.10.2.* (oxidoreductase acting on diphenols and related substances as donors with a cytochrome as acceptor) inhibitor	inhibitor	protein family	eccode	1.10.2	1.10.2
chebi	77106	EC 1.10.2.2 (quinol--cytochrome-c reductase) inhibitor	inhibitor	protein family	eccode	1.10.2.2	1.10.2.2
chebi	85048	EC 1.10.3.* (oxidoreductase acting on diphenols and related substances as donors with oxygen as acceptor) inhibitor	inhibitor	protein family	eccode	1.10.3	1.10.3
chebi	85049	EC 1.10.3.1 (catechol oxidase) inhibitor	inhibitor	protein family	eccode	1.10.3.1	1.10.3.1
chebi	85050	EC 1.10.3.2 (laccase) inhibitor	inhibitor	protein family	eccode	1.10.3.2	1.10.3.2
chebi	77019	EC 1.10.99.* (oxidoreductases acting on diphenols and related substances as donors, other acceptors) inhibitor	inhibitor	protein family	eccode	1.10.99	1.10.99
chebi	77020	EC 1.10.99.2 [ribosyldihydronicotinamide dehydrogenase (quinone)] inhibitor	inhibitor	protein family	eccode	1.10.99.2	1.10.99.2
chebi	76738	EC 1.11.* (oxidoreductase acting on peroxide as donors) inhibitor	inhibitor	protein family	eccode	1.11	1.11
chebi	75381	EC 1.11.1.* (peroxidases) inhibitor	inhibitor	protein family	eccode	1.11.1	1.11.1
chebi	73181	EC 1.11.1.11 (L-ascorbate peroxidase) inhibitor	inhibitor	protein family	eccode	1.11.1.11	1.11.1.11
chebi	75380	EC 1.11.1.6 (catalase) inhibitor	inhibitor	protein family	eccode	1.11.1.6	1.11.1.6
chebi	136558	EC 1.11.1.7 (peroxidase) inhibitor	inhibitor	protein family	eccode	1.11.1.7	1.11.1.7
chebi	79092	EC 1.11.2.* (oxidoreductase with H2O2 as acceptor, incorporating 1 O atom into product) inhibitor	inhibitor	protein family	eccode	1.11.2	1.11.2
chebi	79093	EC 1.11.2.2 (myeloperoxidase) inhibitor	inhibitor	protein family	eccode	1.11.2.2	1.11.2.2
chebi	76739	EC 1.12.* (oxidoreductase acting on hydrogen as donors) inhibitor	inhibitor	protein family	eccode	1.12	1.12
chebi	76740	EC 1.13.* [oxidoreductase acting on single donors with incorporation of molecular oxygen (oxygenases)] inhibitor	inhibitor	protein family	eccode	1.13	1.13
chebi	76837	EC 1.13.11.* (oxidoreductase acting on single donors and incorporating 2 O atoms) inhibitor	inhibitor	protein family	eccode	1.13.11	1.13.11
chebi	131961	EC 1.13.11.11 (tryptophan 2,3-dioxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.11	1.13.11.11
chebi	85051	EC 1.13.11.24 (quercetin 2,3-dioxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.24	1.13.11.24
chebi	38317	EC 1.13.11.27 (4-hydroxyphenylpyruvate dioxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.27	1.13.11.27
chebi	64995	EC 1.13.11.31 (arachidonate 12-lipoxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.31	1.13.11.31
chebi	64996	EC 1.13.11.33 (arachidonate 15-lipoxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.33	1.13.11.33
chebi	64964	EC 1.13.11.34 (arachidonate 5-lipoxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.34	1.13.11.34
chebi	72854	EC 1.13.11.52 (indoleamine 2,3-dioxygenase) inhibitor	inhibitor	protein family	eccode	1.13.11.52	1.13.11.52
chebi	76741	EC 1.14.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitor	inhibitor	protein family	eccode	1.14	1.14
chebi	76902	EC 1.14.11.* (oxidoreductase acting on paired donors, 2-oxoglutarate as one donor, incorporating 1 atom each of oxygen into both donors) inhibitor	inhibitor	protein family	eccode	1.14.11	1.14.11
chebi	131844	EC 1.14.11.1 (gamma-butyrobetaine dioxygenase) inhibitor	inhibitor	protein family	eccode	1.14.11.1	1.14.11.1
chebi	132365	EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor	inhibitor	protein family	eccode	1.14.11.2	1.14.11.2
chebi	102248	EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor	inhibitor	protein family	eccode	1.14.11.29	1.14.11.29
chebi	76841	EC 1.14.13.* (oxidoreductase acting on paired donors, incorporating 1 atom of oxygen, with NADH or NADPH as one donor) inhibitor	inhibitor	protein family	eccode	1.14.13	1.14.13
chebi	59285	EC 1.14.13.132 (squalene monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.13.132	1.14.13.132
chebi	77781	EC 1.14.13.181 (13-deoxydaunorubicin hydroxylase) inhibitor	inhibitor	protein family	eccode	1.14.13.181	1.14.13.181
chebi	61908	EC 1.14.13.39 (nitric oxide synthase) inhibitor	inhibitor	protein family	eccode	1.14.13.39	1.14.13.39
chebi	77783	EC 1.14.13.67 (quinine 3-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.13.67	1.14.13.67
chebi	77884	EC 1.14.13.70 (sterol 14alpha-demethylase) inhibitor	inhibitor	protein family	eccode	1.14.13.70	1.14.13.70
chebi	83316	EC 1.14.13.72 (methylsterol monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.13.72	1.14.13.72
chebi	86430	EC 1.14.13.78 (ent-kaurene oxidase) inhibitor	inhibitor	protein family	eccode	1.14.13.78	1.14.13.78
chebi	86501	EC 1.14.13.97 (taurochenodeoxycholate 6alpha-hydroxylase) inhibitor	inhibitor	protein family	eccode	1.14.13.97	1.14.13.97
chebi	76838	EC 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor	inhibitor	protein family	eccode	1.14.14	1.14.14
chebi	76898	EC 1.14.14.1 (unspecific monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.14.1	1.14.14.1
chebi	50790	EC 1.14.14.14 (aromatase) inhibitor	inhibitor	protein family	eccode	1.14.14.14	1.14.14.14
chebi	143828	EC 1.14.14.154 (sterol 14alpha-demethylase) inhibitor	inhibitor	protein family	eccode	1.14.14.154	1.14.14.154
chebi	142480	EC 1.14.14.94 (leukotriene-B4 20-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.14.94	1.14.14.94
chebi	76843	EC 1.14.15.* (oxidoreductase acting on paired donors, with reduced Fe-S protein as one donor, incorporating 1 O atom) inhibitor	inhibitor	protein family	eccode	1.14.15	1.14.15
chebi	142481	EC 1.14.15.3 (alkane 1-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.15.3	1.14.15.3
chebi	76798	EC 1.14.15.4 (steroid 11beta-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.15.4	1.14.15.4
chebi	144064	EC 1.14.15.6 cholesterol monooxygenase (side-chain-cleaving) inhibitor	inhibitor	protein family	eccode	1.14.15.6	1.14.15.6
chebi	76847	EC 1.14.16.* (oxidoreductase acting on paired donors, reduced pteridine as one donor, incorporating 1 atom of oxygen) inhibitor	inhibitor	protein family	eccode	1.14.16	1.14.16
chebi	63932	EC 1.14.16.2 (tyrosine 3-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.16.2	1.14.16.2
chebi	139338	EC 1.14.17.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen and with reduced ascorbate as one donor, and incorporation of one atom of oxygen) inhibitor	inhibitor	protein family	eccode	1.14.17	1.14.17
chebi	139339	EC 1.14.17.1 (dopamine beta-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.17.1	1.14.17.1
chebi	76845	EC 1.14.18.* (oxidoreductase acting on paired donors, miscellaneous compound as one donor, incorporating 1 atom of oxygen) inhibitor	inhibitor	protein family	eccode	1.14.18	1.14.18
chebi	59997	EC 1.14.18.1 (tyrosinase) inhibitor	inhibitor	protein family	eccode	1.14.18.1	1.14.18.1
chebi	76840	EC 1.14.99.* (miscellaneous oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitor	inhibitor	protein family	eccode	1.14.99	1.14.99
chebi	35544	EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor	inhibitor	protein family	eccode	1.14.99.1	1.14.99.1
chebi	68640	EC 1.14.99.9 (steroid 17alpha-monooxygenase) inhibitor	inhibitor	protein family	eccode	1.14.99.9	1.14.99.9
chebi	76742	EC 1.15.* (oxidoreductase acting on superoxide as acceptor) inhibitor	inhibitor	protein family	eccode	1.15	1.15
chebi	134084	EC 1.15.1.1 (superoxide dismutase) inhibitor	inhibitor	protein family	eccode	1.15.1.1	1.15.1.1
chebi	76743	EC 1.16.* (oxidoreductase oxidising metal ions) inhibitor	inhibitor	protein family	eccode	1.16	1.16
chebi	76744	EC 1.17.* (oxidoreductase acting on CH or CH2) inhibitor	inhibitor	protein family	eccode	1.17	1.17
chebi	76850	EC 1.17.3.* (oxidoreductase acting on CH or CH2 with oxygen as acceptor) inhibitor	inhibitor	protein family	eccode	1.17.3	1.17.3
chebi	35634	EC 1.17.3.2 (xanthine oxidase) inhibitor	inhibitor	protein family	eccode	1.17.3.2	1.17.3.2
chebi	76848	EC 1.17.4.* (oxidoreductase acting on CH or CH2 with a disulfide as acceptor) inhibitor	inhibitor	protein family	eccode	1.17.4	1.17.4
chebi	74213	EC 1.17.4.1 (ribonucleoside-diphosphate reductase) inhibitor	inhibitor	protein family	eccode	1.17.4.1	1.17.4.1
chebi	76745	EC 1.18.* (oxidoreductase acting on Fe-S proteins as donors) inhibitor	inhibitor	protein family	eccode	1.18	1.18
chebi	76746	EC 1.19.* (oxidoreductase acting on reduced flavodoxin as donor) inhibitor	inhibitor	protein family	eccode	1.19	1.19
chebi	76727	EC 1.2.* (oxidoreductase acting on donor aldehyde/oxo group) inhibitor	inhibitor	protein family	eccode	1.2	1.2
chebi	76852	EC 1.2.1.* (oxidoreductase acting on donor aldehyde/oxo group with NAD(+) or NADP(+) as acceptor) inhibitor	inhibitor	protein family	eccode	1.2.1	1.2.1
chebi	145814	EC 1.2.1.12 (aspartate-semialdehyde dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.2.1.12	1.2.1.12
chebi	70817	EC 1.2.1.12 [glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)] inhibitor	inhibitor	protein family	eccode	1.2.1.12	1.2.1.12
chebi	35487	EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor	inhibitor	protein family	eccode	1.2.1.3	1.2.1.3
chebi	77763	EC 1.2.1.88 (L-glutamate gamma-semialdehyde dehydrogenase) inhibitor	inhibitor	protein family	eccode	1.2.1.88	1.2.1.88
chebi	76853	EC 1.2.3.* (oxidoreductase acting on donor aldehyde/oxo group with oxygen as acceptor) inhibitor	inhibitor	protein family	eccode	1.2.3	1.2.3
chebi	62872	EC 1.2.3.1 (aldehyde oxidase) inhibitor	inhibitor	protein family	eccode	1.2.3.1	1.2.3.1
chebi	76747	EC 1.20.* (oxidoreductase acting on P or As in donors) inhibitor	inhibitor	protein family	eccode	1.20	1.20
chebi	76748	EC 1.21.* (oxidoreductase acting on X-H and Y-H to form an X-Y bond) inhibitor	inhibitor	protein family	eccode	1.21	1.21
chebi	77109	EC 1.21.3.* (oxidoreductase acting on X-H and Y-H to form an X-Y bond, with oxygen as acceptor) inhibitor	inhibitor	protein family	eccode	1.21.3	1.21.3
chebi	77110	EC 1.21.3.3 (reticuline oxidase) inhibitor	inhibitor	protein family	eccode	1.21.3.3	1.21.3.3
